"","BUC","CAN","EVE","OLD","FOS","MOU","AMW","BAR","HIL","HOL","HOM","JUN","LAV","LAW","PRK","QUA","ROO","ROY","US2","VAN","ZIO","CEM","WES","CAR"
"Lasioglossum_cressonii",0,0.005,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0,0,0,0,0.005,0,0
"Lasioglossum_ephialtum",0,0,0,0,0.0111111111111111,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_foxii",0,0,0,0,0,0,0,0,0,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_gotham",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0
"Lasioglossum_hitchensi",0,0.01,0,0,0.0222222222222222,0.04,0.01,0.01,0,0.0166666666666667,0,0,0,0,0,0.00625,0.0125,0,0,0.03125,0.01,0,0.0166666666666667,0
"Lasioglossum_illinoense",0,0,0,0,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_imitatum",0,0,0.0625,0,0.0166666666666667,0.01,0,0.07,0,0.0166666666666667,0.0714285714285714,0.1125,0.00625,0.005,0,0.06875,0.00625,0.005,0.03125,0.01875,0.045,0.225,0.0333333333333333,0
"Lasioglossum_nymphaearum",0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_obscurum",0,0,0.00625,0,0.00555555555555556,0,0,0,0,0,0,0.00625,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_paradmirandum",0,0,0,0,0,0,0,0.01,0,0,0.00714285714285714,0.0375,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_pilosum",0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0
"Lasioglossum_platyparium",0,0,0,0.00625,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_smilacinae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0,0,0,0
"Lasioglossum_subviridatum",0,0,0,0.00625,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_tegulare",0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_trigeminum",0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0,0
"Lasioglossum_truncatum",0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_versatum",0.015,0.01,0,0.01875,0,0.015,0.05,0.02,0.00833333333333333,0.00833333333333333,0,0.0125,0.0125,0.005,0,0.00625,0.0125,0,0,0.00625,0.025,0,0,0
"Lasioglossum_viridatum",0,0,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_weemsi",0,0.005,0.00625,0,0.0166666666666667,0,0,0.005,0.00833333333333333,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0
"Lithurgus_chrysurus",0,0,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0,0,0,0,0,0,0
"Megachile_brevis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0,0
"Megachile_campanulae",0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megachile_exilis",0,0,0,0,0,0,0,0,0,0,0.00714285714285714,0,0,0,0,0,0,0,0,0,0,0.005,0,0
"Megachile_georgica",0,0,0,0,0,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megachile_mendica",0,0,0,0,0.00555555555555556,0.005,0.02,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0.01,0.005,0,0
"Megachile_montivaga",0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megachile_rotundata",0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megachile_sculpturalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0.005,0,0,0
"Melissodes_bimaculatus",0,0,0.00625,0,0,0,0,0,0,0,0.00714285714285714,0,0.00625,0,0,0.00625,0,0,0,0,0,0,0,0
"Melissodes_denticulatus",0.005,0.005,0,0.00625,0,0,0.015,0,0,0,0.00714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melissodes_desponsus",0,0.005,0,0.00625,0,0,0,0,0,0,0.00714285714285714,0.0125,0.00625,0,0,0.01875,0,0,0.00625,0,0.005,0,0,0
"Osmia_atriventris",0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osmia_pumila",0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peponapis_pruinosa",0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0,0,0
"Ptilothrix_bombiformis",0,0,0,0,0,0.005,0,0,0.00833333333333333,0,0,0.00625,0,0,0.025,0,0.00625,0,0,0,0,0,0,0
"Sphecodes_heraclei",0,0,0,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0,0,0,0,0,0
"Stelis_louisae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0
"Xylocopa_virginica",0.03,0.01,0.00625,0.0375,0.0277777777777778,0.01,0.02,0.015,0,0,0.0357142857142857,0.175,0.025,0.04,0,0.0375,0.00625,0.145,0.00625,0,0.01,0.01,0.0666666666666667,0.0166666666666667
