"","Family","Genus","Species","Diameter","POM.Height","Sampling.Period","X1ha.Plot.X.Coordinate","X1ha.Plot.Y.Coordinate","X1ha.Plot.Number","Gen_sp","Year","density","biomass","carbon"
"757","Malpighiaceae","Byrsonima","spicata",47,2.7,2010.01,23.9,30,"VG-BCI-3","Byrsonima_spicata","2010",0.6336875,2391.44691078856,1195.72345539428
"758","Vochysiaceae","Erisma","blancoa",28.3,1.3,2010.01,23.9,38,"VG-BCI-3","Erisma_blancoa","2010",0.5358,556.100837281725,278.050418640863
"759","Rubiaceae","Amaioua","corymbosa",15.9,1.3,2010.01,28.2,39.1,"VG-BCI-3","Amaioua_corymbosa","2010",0.625,142.916988865263,71.4584944326317
"760","Chrysobalanaceae","Licania","hypoleuca",12.7,1.3,2010.01,27.1,33.6,"VG-BCI-3","Licania_hypoleuca","2010",0.811142857142857,102.193491359953,51.0967456799767
"762","Chrysobalanaceae","Maranthes","panamensis",37.1,1.3,2010.01,26,20.4,"VG-BCI-3","Maranthes_panamensis","2010",0.817294117647059,1699.99272296721,849.996361483606
"763","Erythroxylaceae","Erythroxylum","citrifolium",11.2,1.3,2010.01,30.9,24.2,"VG-BCI-3","Erythroxylum_citrifolium","2010",0.720481481481482,65.0072375210776,32.5036187605388
"765","Araliaceae","Schefflera","morototoni",41.8,1.3,2010.01,31.1,35.2,"VG-BCI-3","Schefflera_morototoni","2010",0.4273,1202.05107189579,601.025535947895
"766","Moraceae","Perebea","xanthochyma",13.7,1.3,2010.01,30,35.1,"VG-BCI-3","Perebea_xanthochyma","2010",0.487833333333333,75.1605806196538,37.5802903098269
"767","Euphorbiaceae","Alchornea","latifolia",13.2,1.3,2010.01,37.6,35.8,"VG-BCI-3","Alchornea_latifolia","2010",0.412789473684211,57.6215844066041,28.810792203302
"768","Humiriaceae","Vantanea","depleta",28.5,1.3,2010.01,37,34,"VG-BCI-3","Vantanea_depleta","2010",0.835,882.585444128933,441.292722064466
