"","MOU","CAN","AMW","BAR","CAR","FOS","HIL","HOL","HOM","LAV","LAW","PRK","QUA","ROO","US2","ZIO","BUC","EVE","JUN","ROY","VAN","OLD","WES","CEM"
"Lasioglossum_quebecense",0,0,0,0,0,0,0.183516483516484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_subviridatum",0,0.280672268907563,0,0,0,0,0.183516483516484,0,0,0,0,0,0,0.140336134453782,0,0,0.170408163265306,0.596428571428571,0.149107142857143,0.183516483516484,0.477142857142857,0,0.183516483516484,0
"Lasioglossum_taylorae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149107142857143,0,0,0,0,0
"Lasioglossum_tegulare",0.159047619047619,0,0,0,0,0,0,0,0,0,0,0,0.170408163265306,0,0,0,0,0,0.149107142857143,0,0,0,0,0
"Lasioglossum_versatum",2.628,3.09176470588235,0,0,0,0.82125,4.04307692307692,2.07473684210526,0.772941176470588,0,0,0,7.50857142857143,0,0,3.942,5.63142857142857,1.095,0.82125,0,0,0.691578947368421,4.04307692307692,1.01076923076923
"Lasioglossum_zephyrum",0,0,0,0,0,0,0,0,0,0,0,0.198809523809524,0,0,0,0,0.170408163265306,0,0,0,0,0.125563909774436,0,0
"Lasioglossum_zonulum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183516483516484,0
"Osmia_albiventris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600909090909091,0,0,2.0030303030303,0,0,0,0,0.924475524475525,0
"Osmia_atriventris",1.60242424242424,0.706951871657754,0,0.858441558441558,0,0.751136363636364,0.924475524475525,2.53014354066986,0,0.858441558441558,0,3.00454545454545,1.71688311688312,3.53475935828877,3.00454545454545,0,2.57532467532468,3.00454545454545,1.50227272727273,0,0,0,0.924475524475525,1.84895104895105
"Osmia_bucephala",1.4075,0,0,4.52410714285714,0,0,1.62403846153846,1.11118421052632,0,0,0,0,0,0,7.389375,1.055625,7.54017857142857,7.0375,0,0,0,1.11118421052632,0,0
"Osmia_collinsiae",1.4075,0,0,1.50803571428571,0,0,0,1.11118421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osmia_conjuncta",0,0,0,0,0,0,0,0,0,0,0,1.00151515151515,0,0,0.600909090909091,0,0,0,0,0,0,0,0,0
"Osmia_cornifrons",0,0.706951871657754,0,0,0,0,0,0,0,0,0,0,0,0,0.600909090909091,0.600909090909091,0,0,0,0.924475524475525,0,0,0,0
"Osmia_distincta",4.00606060606061,0,0,0,0.728374655647383,0.751136363636364,0,0,0,0,0,0,0,0.706951871657754,1.80272727272727,1.20181818181818,0,0,0.751136363636364,0,0,0,0,1.84895104895105
"Osmia_lignaria",0,0,0,0,0,0,0,0,0,0,0,1.759375,0,0,0,0,0,0,0,0,0,0,0,0
"Osmia_pumila",4.00606060606061,2.82780748663102,2.12085561497326,6.00909090909091,0,5.25795454545455,3.6979020979021,3.79521531100478,1.41390374331551,6.00909090909091,2.53014354066986,9.01363636363636,4.29220779220779,3.53475935828877,6.61,4.20636363636364,6.00909090909091,5.00757575757576,1.50227272727273,1.84895104895105,7.21090909090909,3.79521531100478,1.84895104895105,0
"Xylocopa_virginica",0.806666666666667,0,0,0,0,0,1.86153846153846,0,0,0.864285714285714,0,1.00833333333333,2.59285714285714,0,0.605,0,0,1.00833333333333,0,0,0,0,0.930769230769231,0
